Amplitude	Delay Time	width	Residual
3.486494511E-3	6.900000000E-4	3.153595947E-5	4.668696984E-8
3.207462003E-3	8.900000000E-4	3.132180126E-5	4.217877455E-8
2.916153579E-3	1.090000000E-3	3.100233878E-5	3.793676549E-8
2.672335895E-3	1.290000000E-3	3.070152428E-5	3.063364667E-8
2.464065303E-3	1.490000000E-3	3.090328511E-5	2.579319987E-8
2.264034711E-3	1.690000000E-3	3.069710329E-5	1.789823144E-8
2.113798892E-3	1.890000000E-3	3.120649471E-5	1.389329932E-8
1.933245673E-3	2.090000000E-3	3.174902014E-5	1.078504188E-8
1.809764581E-3	2.290000000E-3	3.220310125E-5	7.496367594E-9
1.682369162E-3	2.490000000E-3	3.267991483E-5	6.002499452E-9
1.569132042E-3	2.690000000E-3	3.265212231E-5	3.750843818E-9
1.307864095E-3	2.890000000E-3	3.122396201E-5	6.809260493E-9
1.218632784E-3	3.090000000E-3	3.029962427E-5	5.541694051E-9
1.150237716E-3	3.290000000E-3	3.101786053E-5	3.450710748E-9
1.085779542E-3	3.490000000E-3	3.075771898E-5	2.460821841E-9
9.359925117E-4	3.690000000E-3	3.108880661E-5	2.620874506E-9
8.856896237E-4	3.890000000E-3	3.104848313E-5	2.553563971E-9
8.534527357E-4	4.090000000E-3	3.133276594E-5	1.489762139E-9
7.160775243E-4	4.290000000E-3	3.012865795E-5	3.681070694E-9
6.551326320E-4	4.490000000E-3	2.874921363E-5	2.480988822E-9
6.693389535E-4	4.690000000E-3	3.225031173E-5	2.393542494E-9
5.603064735E-4	4.890000000E-3	2.793675608E-5	2.308119645E-9
5.362795149E-4	5.090000000E-3	2.983611092E-5	7.017023997E-10
4.686636695E-4	5.290000000E-3	2.868024968E-5	1.749544572E-9
4.825467319E-4	5.490000000E-3	2.802105915E-5	8.065548915E-10
4.180407456E-4	5.690000000E-3	2.791194176E-5	3.600795113E-10
3.771413590E-4	5.890000000E-3	2.632845339E-5	1.195496428E-9
4.030560950E-4	6.090000000E-3	2.789968844E-5	1.026588560E-9
