Amplitude	Delay Time	width	Residual
3.880658774E-3	1.090000000E-3	3.189581586E-5	5.180866122E-8
3.734407670E-3	1.290000000E-3	3.175127687E-5	5.205384488E-8
3.650879023E-3	1.490000000E-3	3.195285141E-5	3.535211359E-8
3.584298434E-3	1.690000000E-3	3.240859081E-5	3.317589928E-8
3.468038594E-3	1.890000000E-3	3.241790543E-5	3.122865546E-8
3.411921088E-3	2.090000000E-3	3.273366789E-5	2.504761150E-8
3.338611441E-3	2.290000000E-3	3.315367163E-5	2.000279769E-8
3.172300071E-3	2.490000000E-3	3.342590514E-5	1.424279673E-8
3.055507051E-3	2.690000000E-3	3.375750786E-5	1.389233905E-8
2.820623498E-3	2.890000000E-3	3.235249618E-5	1.959096489E-8
2.776712683E-3	3.090000000E-3	3.256704458E-5	1.643303614E-8
2.784414003E-3	3.290000000E-3	3.362495495E-5	1.140092212E-8
2.632873999E-3	3.490000000E-3	3.370198532E-5	8.249346606E-9
2.556257573E-3	3.690000000E-3	3.373063066E-5	1.095427195E-8
2.308239632E-3	3.890000000E-3	3.186595417E-5	1.726161167E-8
2.218437491E-3	4.090000000E-3	3.139466571E-5	1.883067200E-8
2.294041320E-3	4.290000000E-3	3.413506307E-5	9.241788733E-9
2.226634571E-3	4.490000000E-3	3.354742955E-5	7.311041505E-9
2.109153108E-3	4.690000000E-3	3.331160738E-5	7.612837082E-9
2.003667848E-3	4.890000000E-3	3.290331638E-5	6.763543658E-9
1.946640515E-3	5.090000000E-3	3.355634469E-5	7.591665216E-9
1.846317285E-3	5.290000000E-3	3.196333400E-5	8.135935360E-9
1.770391687E-3	5.490000000E-3	3.218113532E-5	6.436446504E-9
1.714104146E-3	5.690000000E-3	3.295439950E-5	5.760185323E-9
1.698476939E-3	5.890000000E-3	3.375287637E-5	2.990645280E-9
1.642419487E-3	6.090000000E-3	3.253093602E-5	3.977812803E-9
1.525316392E-3	6.290000000E-3	3.186285260E-5	5.817926236E-9
1.519789773E-3	6.490000000E-3	3.319194128E-5	3.759391155E-9
1.459258672E-3	6.690000000E-3	3.228901609E-5	3.943922983E-9
1.428616517E-3	6.890000000E-3	3.290958157E-5	3.242107439E-9
1.360409889E-3	7.090000000E-3	3.269384227E-5	2.481697643E-9
1.338810921E-3	7.290000000E-3	3.202859340E-5	2.751296479E-9
