Amplitude	Delay Time	width	Residual
2.553609863E-3	2.330000000E-3	5.714259455E-5	1.105218166E-8
2.330429574E-3	3.330000000E-3	6.328121448E-5	1.309733104E-8
1.766580030E-3	4.330000000E-3	6.458356011E-5	7.924549125E-9
1.354650759E-3	5.330000000E-3	6.586371898E-5	8.029220390E-9
9.393794014E-4	6.330000000E-3	7.574519438E-5	9.488366548E-9
5.952348188E-4	7.330000000E-3	8.122335825E-5	1.477609616E-8
3.202618225E-4	8.330000000E-3	9.880099324E-5	2.316752797E-8
6.187964755E-5	9.330000000E-3	2.840486249E-3	3.983455192E-8
4.060784381E-5	1.033000000E-2	1.072504659E-2	7.747230489E-8
3.234638944E-5	1.133000000E-2	3.149879564E-2	1.500891530E-7
-1.401948166E-3	1.233000000E-2	2.792434088E-5	3.852050362E-9
-1.701214513E-3	1.333000000E-2	3.051355015E-5	6.974859592E-9
-1.892183049E-3	1.433000000E-2	3.146479015E-5	6.975765394E-9
-2.069780658E-3	1.533000000E-2	3.279471050E-5	8.635895576E-9
-2.329275106E-3	1.633000000E-2	3.439851376E-5	1.393065779E-8
-2.543158809E-3	1.733000000E-2	3.593015398E-5	2.040726859E-8
-2.724783413E-3	1.833000000E-2	3.668951006E-5	2.534961555E-8
-2.812295800E-3	1.933000000E-2	3.686859695E-5	2.266692882E-8
-2.993524471E-3	2.033000000E-2	3.762778547E-5	2.642870440E-8
-3.097741055E-3	2.133000000E-2	3.755700038E-5	2.780453418E-8
-3.239341335E-3	2.233000000E-2	3.872694187E-5	3.218082323E-8
-3.357867794E-3	2.333000000E-2	3.926656237E-5	3.318889508E-8
-3.414655554E-3	2.433000000E-2	3.899734131E-5	3.324137308E-8
-3.611982438E-3	2.533000000E-2	3.974735224E-5	4.622171400E-8
-3.671876383E-3	2.633000000E-2	4.017182491E-5	3.951624926E-8
-3.732555519E-3	2.733000000E-2	3.940834322E-5	4.292306351E-8
-3.766276230E-3	2.833000000E-2	3.941589664E-5	3.628735624E-8
-3.829480036E-3	2.933000000E-2	4.016204770E-5	4.074484714E-8
-3.960008986E-3	3.033000000E-2	4.088310198E-5	5.126220195E-8
-3.964211182E-3	3.133000000E-2	4.015004826E-5	4.090146025E-8
-4.084418749E-3	3.233000000E-2	4.185595878E-5	6.112312716E-8
-4.085982107E-3	3.333000000E-2	4.055155607E-5	4.194390694E-8
-4.092092898E-3	3.433000000E-2	4.095643018E-5	4.594362325E-8
