Amplitude	Delay Time	width	Residual
3.116483441E-3	2.330000000E-3	5.585332626E-5	1.218060366E-8
3.276382165E-3	3.330000000E-3	5.963894858E-5	1.639865922E-8
3.138455442E-3	4.330000000E-3	6.046803289E-5	1.550263389E-8
2.971832972E-3	5.330000000E-3	6.188952794E-5	1.847289308E-8
2.760825356E-3	6.330000000E-3	6.196671448E-5	1.319575296E-8
2.599779110E-3	7.330000000E-3	6.289060540E-5	1.465834821E-8
2.451115225E-3	8.330000000E-3	6.365528701E-5	1.055220675E-8
2.270104074E-3	9.330000000E-3	6.387375667E-5	1.139359310E-8
2.137074822E-3	1.033000000E-2	6.526151918E-5	1.221784741E-8
2.002396013E-3	1.133000000E-2	6.467736063E-5	9.734765971E-9
1.829929642E-3	1.233000000E-2	6.400889920E-5	9.396594861E-9
1.723115518E-3	1.333000000E-2	6.694182470E-5	1.055735948E-8
1.553969653E-3	1.433000000E-2	6.890920679E-5	1.040862104E-8
1.461300614E-3	1.533000000E-2	7.058086861E-5	1.264754656E-8
1.347481553E-3	1.633000000E-2	7.051385989E-5	1.126377703E-8
1.237512856E-3	1.733000000E-2	6.947046673E-5	1.277556225E-8
1.106216511E-3	1.833000000E-2	7.125525612E-5	1.134111816E-8
9.717029242E-4	1.933000000E-2	7.226412227E-5	1.148319168E-8
8.773899205E-4	2.033000000E-2	7.176626368E-5	1.375822624E-8
7.434307497E-4	2.133000000E-2	8.436513382E-5	1.473436534E-8
6.819508364E-4	2.233000000E-2	8.457190473E-5	1.759162048E-8
5.529509782E-4	2.333000000E-2	8.823635318E-5	1.730151568E-8
5.139480676E-4	2.433000000E-2	9.029450851E-5	2.266045628E-8
3.809511052E-4	2.533000000E-2	1.083423275E-4	2.190530918E-8
1.552739576E-4	2.633000000E-2	8.952114525E-4	3.191063262E-8
3.463540410E-4	2.733000000E-2	9.426061233E-5	3.977163982E-8
3.604119141E-4	2.833000000E-2	3.025998906E-5	2.869595658E-8
4.682134467E-5	2.933000000E-2	3.384597222E-3	4.776515456E-8
1.006776499E-4	3.033000000E-2	4.140725872E-3	5.317433475E-8
1.001743320E-4	3.133000000E-2	1.082986982E-2	7.126510594E-8
6.096699852E-5	3.233000000E-2	1.226192538E-2	8.211052235E-8
1.207278939E-5	3.333000000E-2	1.470852686E-2	1.030803442E-7
-1.086883777E-4	3.433000000E-2	1.605903492E-2	1.045033563E-7
5.289883607E-5	3.533000000E-2	3.383311107E-2	1.500949184E-7
-1.164717922E-3	3.633000000E-2	2.384781599E-5	5.535080355E-9
-1.252580030E-3	3.733000000E-2	2.505941523E-5	5.477157262E-9
-1.362790288E-3	3.833000000E-2	2.588134770E-5	5.382540935E-9
-1.430283755E-3	3.933000000E-2	2.635118866E-5	5.710646515E-9
-1.530627522E-3	4.033000000E-2	2.717374584E-5	4.992179167E-9
-1.618375229E-3	4.133000000E-2	2.823181101E-5	6.226956307E-9
-1.739996191E-3	4.233000000E-2	2.964335486E-5	8.779219423E-9
-1.773674156E-3	4.333000000E-2	3.014341434E-5	7.595004155E-9
-1.838543536E-3	4.433000000E-2	2.978921879E-5	5.795302276E-9
-1.867572772E-3	4.533000000E-2	3.003399750E-5	6.799152237E-9
-1.974680893E-3	4.633000000E-2	3.057498205E-5	7.994458685E-9
-2.029866701E-3	4.733000000E-2	3.133463065E-5	9.576196255E-9
-2.007115948E-3	4.833000000E-2	3.097537674E-5	7.756939028E-9
-2.098253965E-3	4.933000000E-2	3.255612827E-5	1.036382407E-8
-2.103664602E-3	5.033000000E-2	3.263607238E-5	7.554571685E-9
-2.108284324E-3	5.133000000E-2	3.255846700E-5	1.005688958E-8
-2.183340114E-3	5.233000000E-2	3.336639788E-5	1.203722541E-8
-2.206191857E-3	5.333000000E-2	3.340939210E-5	1.082401240E-8
-2.273163065E-3	5.433000000E-2	3.271604074E-5	1.305341201E-8
-2.351660857E-3	5.533000000E-2	3.360139993E-5	1.354325385E-8
-2.410077565E-3	5.633000000E-2	3.383203094E-5	1.558038323E-8
-2.443333553E-3	5.733000000E-2	3.419193350E-5	1.359918345E-8
-2.511216739E-3	5.833000000E-2	3.404287987E-5	1.146881270E-8
-2.484295187E-3	5.933000000E-2	3.399200574E-5	1.032014679E-8
-2.526939999E-3	6.033000000E-2	3.445573059E-5	1.105688717E-8
-2.595142164E-3	6.133000000E-2	3.490010131E-5	1.658532084E-8
-2.659209959E-3	6.233000000E-2	3.438319935E-5	1.555689624E-8
-2.651417199E-3	6.333000000E-2	3.525713557E-5	1.410683930E-8
