Amplitude	Delay Time	width	Residual
2.209415451E-3	2.330000000E-3	5.891305633E-5	7.138347955E-9
1.729935120E-3	3.330000000E-3	6.844562561E-5	6.939780961E-9
1.107880771E-3	4.330000000E-3	7.397037649E-5	8.205448106E-9
5.477194484E-4	5.330000000E-3	9.143060328E-5	1.068170214E-8
2.501270533E-4	6.330000000E-3	1.232963212E-4	2.498386752E-8
6.128936763E-5	7.330000000E-3	9.896729962E-3	7.055567216E-8
-3.402040236E-5	8.330000000E-3	3.117046901E-2	1.637782104E-7
-1.499216801E-3	9.330000000E-3	3.086661353E-5	6.080351732E-9
-1.888686126E-3	1.033000000E-2	3.486635111E-5	1.422951175E-8
-2.104034861E-3	1.133000000E-2	3.540255266E-5	1.261988695E-8
-2.415081832E-3	1.233000000E-2	3.657537592E-5	1.519751166E-8
-2.551787876E-3	1.333000000E-2	3.735370663E-5	1.658019597E-8
-2.809508983E-3	1.433000000E-2	3.883270246E-5	1.801073330E-8
-2.937792912E-3	1.533000000E-2	3.944489339E-5	2.206341942E-8
-3.096194855E-3	1.633000000E-2	3.984582233E-5	2.902540743E-8
-3.240212447E-3	1.733000000E-2	4.088203357E-5	2.764946129E-8
-3.288020432E-3	1.833000000E-2	4.014217357E-5	3.298318332E-8
-3.494264075E-3	1.933000000E-2	4.133650050E-5	3.782300897E-8
-3.597819775E-3	2.033000000E-2	4.227125982E-5	4.926853172E-8
-3.644395456E-3	2.133000000E-2	4.173418995E-5	3.650842981E-8
-3.682498681E-3	2.233000000E-2	4.120925843E-5	3.281287365E-8
-3.760835747E-3	2.333000000E-2	4.183914717E-5	3.825311116E-8
-3.852493758E-3	2.433000000E-2	4.222122953E-5	4.419255610E-8
-3.832039238E-3	2.533000000E-2	4.204984003E-5	4.376132027E-8
-3.907582468E-3	2.633000000E-2	4.240346348E-5	4.516889994E-8
-3.942905794E-3	2.733000000E-2	4.203087445E-5	4.057398816E-8
-4.029347020E-3	2.833000000E-2	4.219688915E-5	5.149068571E-8
-4.007298473E-3	2.933000000E-2	4.324048477E-5	5.053680168E-8
-4.025048600E-3	3.033000000E-2	4.318991944E-5	5.000294954E-8
-4.028875400E-3	3.133000000E-2	4.265879916E-5	4.545794187E-8
-4.005238943E-3	3.233000000E-2	4.322834158E-5	4.341536201E-8
-4.072659559E-3	3.333000000E-2	4.313167666E-5	4.693046252E-8
-4.063059436E-3	3.433000000E-2	4.344749980E-5	4.725280468E-8
-4.102412037E-3	3.533000000E-2	4.348773650E-5	5.413576453E-8
-4.117299845E-3	3.633000000E-2	4.412627118E-5	5.090587392E-8
-4.076845665E-3	3.733000000E-2	4.325636507E-5	4.708526891E-8
-4.096553874E-3	3.833000000E-2	4.297323704E-5	4.752653858E-8
-4.100511556E-3	3.933000000E-2	4.216572518E-5	4.379377592E-8
