Amplitude	Delay Time	width	Residual
4.008889150E-3	2.090000000E-3	3.912566432E-5	5.361314471E-8
3.999333830E-3	2.290000000E-3	4.049226216E-5	6.527917810E-8
3.834475243E-3	2.490000000E-3	3.950341989E-5	4.929706929E-8
3.857484142E-3	2.690000000E-3	4.044322128E-5	4.999808917E-8
3.741335972E-3	2.890000000E-3	3.979213497E-5	5.186494657E-8
3.576329393E-3	3.090000000E-3	3.927861517E-5	4.015856628E-8
3.613950601E-3	3.290000000E-3	4.107927449E-5	5.147570899E-8
3.489158596E-3	3.490000000E-3	4.031439047E-5	5.103050142E-8
3.337714177E-3	3.690000000E-3	3.911547611E-5	3.583241887E-8
3.215871351E-3	3.890000000E-3	3.886707174E-5	3.125880799E-8
3.256738279E-3	4.090000000E-3	3.978960778E-5	4.764509563E-8
3.131536659E-3	4.290000000E-3	3.929716522E-5	3.148049511E-8
3.028329263E-3	4.490000000E-3	3.872051646E-5	3.073571292E-8
2.960272139E-3	4.690000000E-3	3.873813628E-5	2.504167167E-8
2.928602783E-3	4.890000000E-3	3.921141474E-5	3.238007976E-8
2.913423681E-3	5.090000000E-3	3.966972434E-5	3.089515467E-8
2.943665651E-3	5.290000000E-3	4.093876388E-5	3.793753402E-8
2.714100641E-3	5.490000000E-3	3.882213676E-5	2.684894376E-8
2.766669694E-3	5.690000000E-3	3.981936453E-5	2.578672025E-8
2.697590854E-3	5.890000000E-3	4.009109256E-5	2.836040082E-8
2.593289596E-3	6.090000000E-3	4.040940704E-5	3.030808450E-8
2.556899266E-3	6.290000000E-3	4.002331200E-5	1.846221727E-8
2.462189648E-3	6.490000000E-3	3.888183755E-5	2.564372886E-8
2.465402731E-3	6.690000000E-3	3.983920371E-5	2.851542857E-8
2.433522369E-3	6.890000000E-3	4.017002677E-5	2.394704220E-8
2.289469215E-3	7.090000000E-3	3.878952296E-5	2.093440513E-8
2.246895804E-3	7.290000000E-3	3.821119425E-5	2.266374354E-8
2.229134197E-3	7.490000000E-3	3.992893966E-5	1.659708457E-8
2.198798619E-3	7.690000000E-3	3.901721761E-5	2.129769423E-8
2.082173211E-3	7.890000000E-3	3.927479525E-5	1.252699918E-8
2.105248258E-3	8.090000000E-3	4.009255968E-5	2.567982970E-8
2.066825768E-3	8.290000000E-3	3.853817624E-5	1.618587132E-8
1.986560470E-3	8.490000000E-3	3.968614718E-5	1.626572739E-8
1.910354916E-3	8.690000000E-3	3.791907439E-5	1.483708738E-8
1.915560191E-3	8.890000000E-3	4.052013582E-5	1.598973091E-8
1.841156182E-3	9.090000000E-3	3.891972468E-5	1.197641778E-8
1.762929947E-3	9.290000000E-3	3.921188600E-5	1.235522278E-8
