Amplitude	Delay Time	width	Residual
4.253385501E-3	3.090000000E-3	3.587230779E-5	2.790763747E-8
4.294062988E-3	3.290000000E-3	3.589137239E-5	3.216521833E-8
4.182298366E-3	3.490000000E-3	3.474793060E-5	2.595566119E-8
4.182076193E-3	3.690000000E-3	3.521265982E-5	2.507881455E-8
4.170460932E-3	3.890000000E-3	3.561366331E-5	3.000459150E-8
4.143009199E-3	4.090000000E-3	3.532265707E-5	2.610481134E-8
3.996204905E-3	4.290000000E-3	3.455680723E-5	2.097589157E-8
4.081923373E-3	4.490000000E-3	3.577444956E-5	3.228259586E-8
3.977266957E-3	4.690000000E-3	3.483668870E-5	2.122519880E-8
3.982878705E-3	4.890000000E-3	3.550371679E-5	2.573060264E-8
3.817155300E-3	5.090000000E-3	3.457663321E-5	2.158526002E-8
3.913648895E-3	5.290000000E-3	3.568161839E-5	2.846307713E-8
3.829217526E-3	5.490000000E-3	3.550302928E-5	2.515363827E-8
3.752334918E-3	5.690000000E-3	3.509753530E-5	2.042298185E-8
3.695375494E-3	5.890000000E-3	3.496073922E-5	1.903200152E-8
3.758771490E-3	6.090000000E-3	3.572767484E-5	2.576771839E-8
3.570263907E-3	6.290000000E-3	3.412946009E-5	2.076340649E-8
3.608331125E-3	6.490000000E-3	3.499023657E-5	2.062081155E-8
3.660289510E-3	6.690000000E-3	3.585921383E-5	2.306748229E-8
3.510373666E-3	6.890000000E-3	3.454450503E-5	1.884308960E-8
3.507802826E-3	7.090000000E-3	3.525897198E-5	2.456455719E-8
3.522914492E-3	7.290000000E-3	3.532623046E-5	2.550875134E-8
3.442076002E-3	7.490000000E-3	3.543533146E-5	2.104295814E-8
3.385756898E-3	7.690000000E-3	3.497190124E-5	1.640122738E-8
3.339063270E-3	7.890000000E-3	3.502727024E-5	1.582182878E-8
3.313652874E-3	8.090000000E-3	3.477115803E-5	1.756559664E-8
3.188271064E-3	8.290000000E-3	3.454509505E-5	1.198667002E-8
3.290045283E-3	8.490000000E-3	3.549469843E-5	1.685792534E-8
3.273811776E-3	8.690000000E-3	3.561090146E-5	1.827863739E-8
3.240981135E-3	8.890000000E-3	3.573733778E-5	2.321394990E-8
3.196410329E-3	9.090000000E-3	3.553560171E-5	1.781281767E-8
3.151994083E-3	9.290000000E-3	3.526195588E-5	1.732991531E-8
3.088299663E-3	9.490000000E-3	3.507435085E-5	1.719455932E-8
2.990688114E-3	9.690000000E-3	3.436557898E-5	1.256389473E-8
3.085984761E-3	9.890000000E-3	3.557717252E-5	2.211834281E-8
2.963142278E-3	1.009000000E-2	3.519090163E-5	1.136438585E-8
2.984318085E-3	1.029000000E-2	3.501157558E-5	1.769105800E-8
2.968800020E-3	1.049000000E-2	3.545916937E-5	1.644759021E-8
2.933490077E-3	1.069000000E-2	3.524546490E-5	1.285246628E-8
2.964793760E-3	1.089000000E-2	3.630068855E-5	1.776634805E-8
2.897943509E-3	1.109000000E-2	3.619526858E-5	1.717203179E-8
2.742757388E-3	1.129000000E-2	3.411312753E-5	1.193822423E-8
2.773262067E-3	1.149000000E-2	3.485869163E-5	1.161182239E-8
2.738453171E-3	1.169000000E-2	3.540478234E-5	1.094525034E-8
2.705695805E-3	1.189000000E-2	3.574251529E-5	9.539812373E-9
2.607672388E-3	1.209000000E-2	3.402072435E-5	1.276343739E-8
2.610010187E-3	1.229000000E-2	3.480713347E-5	1.126529297E-8
2.620482042E-3	1.249000000E-2	3.457306700E-5	1.028062343E-8
2.652513636E-3	1.269000000E-2	3.546584724E-5	1.172442727E-8
2.598796871E-3	1.289000000E-2	3.527250861E-5	1.644008454E-8
2.600841855E-3	1.309000000E-2	3.565234803E-5	1.731083547E-8
2.566504945E-3	1.329000000E-2	3.575011036E-5	1.486681551E-8
2.542406996E-3	1.349000000E-2	3.595210271E-5	1.256826641E-8
2.532773581E-3	1.369000000E-2	3.537115144E-5	1.164609960E-8
2.490692467E-3	1.389000000E-2	3.574730667E-5	1.320644462E-8
2.463829696E-3	1.409000000E-2	3.685049708E-5	1.625838883E-8
2.403775792E-3	1.429000000E-2	3.569104219E-5	1.132078184E-8
2.373361122E-3	1.449000000E-2	3.552823071E-5	7.557503512E-9
2.259407790E-3	1.469000000E-2	3.438137980E-5	8.103856723E-9
2.192202140E-3	1.489000000E-2	3.386970735E-5	6.530828524E-9
2.176658042E-3	1.509000000E-2	3.424810968E-5	5.941283168E-9
2.187939551E-3	1.529000000E-2	3.496849701E-5	7.006985081E-9
2.213237283E-3	1.549000000E-2	3.596936918E-5	6.848960905E-9
2.151630033E-3	1.569000000E-2	3.428893730E-5	7.033171899E-9
2.149196546E-3	1.589000000E-2	3.532915979E-5	6.596074455E-9
2.116559352E-3	1.609000000E-2	3.499137460E-5	7.103584879E-9
2.075618429E-3	1.629000000E-2	3.503139911E-5	7.360898968E-9
2.194571357E-3	1.649000000E-2	3.607096123E-5	1.522432954E-8
1.972774116E-3	1.669000000E-2	3.367105265E-5	7.094447305E-9
