Amplitude	Delay Time	width	Residual
4.974804131E-3	4.900000000E-4	4.223527760E-5	1.000010077E-7
4.621100832E-3	6.900000000E-4	3.791425066E-5	7.669173686E-8
4.563343630E-3	8.900000000E-4	3.879899476E-5	9.518845912E-8
4.390186319E-3	1.090000000E-3	3.834769700E-5	9.139800919E-8
4.288562049E-3	1.290000000E-3	3.825032794E-5	7.319821401E-8
4.144230169E-3	1.490000000E-3	3.820296740E-5	7.280523946E-8
4.041690842E-3	1.690000000E-3	3.766737834E-5	6.764922674E-8
3.912873482E-3	1.890000000E-3	3.785716678E-5	6.721427919E-8
3.838345623E-3	2.090000000E-3	3.814488690E-5	6.990389690E-8
3.778551331E-3	2.290000000E-3	3.853279613E-5	6.771314006E-8
3.670900644E-3	2.490000000E-3	3.840881952E-5	6.187519751E-8
3.554358336E-3	2.690000000E-3	3.805408245E-5	4.537034398E-8
3.610909908E-3	2.890000000E-3	3.977303872E-5	7.346285050E-8
3.404574650E-3	3.090000000E-3	3.957478509E-5	6.300535736E-8
3.274407381E-3	3.290000000E-3	3.853301339E-5	5.140108022E-8
3.105656053E-3	3.490000000E-3	3.797201503E-5	4.723405106E-8
3.012023154E-3	3.690000000E-3	3.819271729E-5	4.374563824E-8
2.948879369E-3	3.890000000E-3	3.835550103E-5	4.633027104E-8
2.820248302E-3	4.090000000E-3	3.834352575E-5	3.879874824E-8
2.777573949E-3	4.290000000E-3	3.850391296E-5	3.890356537E-8
2.787901737E-3	4.490000000E-3	3.893655566E-5	3.770718155E-8
2.743434466E-3	4.690000000E-3	4.002533878E-5	4.846497339E-8
2.648876368E-3	4.890000000E-3	3.907936386E-5	4.008201129E-8
2.530145288E-3	5.090000000E-3	3.909951954E-5	4.901127976E-8
2.401156019E-3	5.290000000E-3	3.677124132E-5	3.016140619E-8
2.395260776E-3	5.490000000E-3	3.791863777E-5	3.235880569E-8
2.377812392E-3	5.690000000E-3	3.905800785E-5	2.897833141E-8
2.431400342E-3	5.890000000E-3	4.081517918E-5	3.932713314E-8
2.344727938E-3	6.090000000E-3	3.926596805E-5	3.333183070E-8
2.257833037E-3	6.290000000E-3	3.912879309E-5	2.714254490E-8
2.098653688E-3	6.490000000E-3	3.866608116E-5	2.786650023E-8
1.943656650E-3	6.690000000E-3	3.659055523E-5	1.814166422E-8
1.977663816E-3	6.890000000E-3	3.706291297E-5	2.013414901E-8
1.910716354E-3	7.090000000E-3	3.768093633E-5	2.652238595E-8
1.842509413E-3	7.290000000E-3	3.718871410E-5	1.907754599E-8
1.829499138E-3	7.490000000E-3	4.022652660E-5	2.186603215E-8
1.825352415E-3	7.690000000E-3	3.947753432E-5	1.809735329E-8
1.827036300E-3	7.890000000E-3	4.011688798E-5	2.137437112E-8
1.798554624E-3	8.090000000E-3	4.078218632E-5	2.018598907E-8
1.758338906E-3	8.290000000E-3	4.166364407E-5	2.202717668E-8
1.682165175E-3	8.490000000E-3	4.047407378E-5	1.953039568E-8
1.607263786E-3	8.690000000E-3	3.818231163E-5	1.375437722E-8
