Amplitude	Delay Time	width	Residual
2.846354447E-3	6.900000000E-4	3.590861355E-5	1.190389504E-8
2.530094576E-3	8.900000000E-4	3.647932599E-5	1.320092712E-8
2.049601143E-3	1.090000000E-3	3.474799964E-5	8.991999704E-9
1.748191923E-3	1.290000000E-3	3.501613888E-5	3.462103621E-9
1.531318983E-3	1.490000000E-3	3.285592933E-5	2.402750695E-9
1.366768757E-3	1.690000000E-3	3.467388118E-5	5.095082495E-9
1.196246498E-3	1.890000000E-3	3.419214700E-5	4.917957582E-9
9.784629850E-4	2.090000000E-3	3.138639012E-5	1.012656463E-9
8.887477874E-4	2.290000000E-3	3.389809250E-5	4.311405130E-9
7.284448080E-4	2.490000000E-3	3.331906358E-5	1.787611260E-9
5.771466284E-4	2.690000000E-3	2.850262430E-5	1.154950962E-9
5.586023728E-4	2.890000000E-3	3.161667833E-5	7.970374522E-10
4.693452293E-4	3.090000000E-3	3.184596386E-5	2.634028160E-9
3.944008832E-4	3.290000000E-3	2.835821837E-5	6.080910975E-10
3.479975738E-4	3.490000000E-3	2.901928181E-5	4.569115389E-10
3.450992054E-4	3.690000000E-3	2.987889448E-5	8.896607434E-10
