Amplitude	Delay Time	width	Residual
4.207760014E-3	4.090000000E-3	3.579833352E-5	2.099894198E-8
4.224110462E-3	4.290000000E-3	3.646340415E-5	3.117752507E-8
4.168626676E-3	4.490000000E-3	3.641557084E-5	2.843200043E-8
4.144453939E-3	4.690000000E-3	3.718305371E-5	3.536230932E-8
4.084691356E-3	4.890000000E-3	3.608278979E-5	2.616750636E-8
4.008368546E-3	5.090000000E-3	3.609427272E-5	2.809308880E-8
3.986143649E-3	5.290000000E-3	3.530978760E-5	2.195091334E-8
4.018758752E-3	5.490000000E-3	3.539489251E-5	2.436639187E-8
3.935912442E-3	5.690000000E-3	3.531842479E-5	2.040574548E-8
3.945546621E-3	5.890000000E-3	3.588118100E-5	2.188997351E-8
3.860526250E-3	6.090000000E-3	3.488707599E-5	2.423863390E-8
3.873656151E-3	6.290000000E-3	3.572017241E-5	2.290735714E-8
3.783175320E-3	6.490000000E-3	3.503084503E-5	2.206000176E-8
3.786106853E-3	6.690000000E-3	3.538492370E-5	2.038150737E-8
3.782538814E-3	6.890000000E-3	3.566145758E-5	2.404918208E-8
3.733747110E-3	7.090000000E-3	3.559361340E-5	1.759698679E-8
3.692462457E-3	7.290000000E-3	3.515158746E-5	2.003329094E-8
3.693858681E-3	7.490000000E-3	3.560031879E-5	2.195398823E-8
3.642553120E-3	7.690000000E-3	3.517746959E-5	1.930312741E-8
3.547172260E-3	7.890000000E-3	3.484402367E-5	1.979576838E-8
3.518051574E-3	8.090000000E-3	3.474082567E-5	1.867542800E-8
3.538261747E-3	8.290000000E-3	3.562959575E-5	2.049565818E-8
3.558724143E-3	8.490000000E-3	3.581110009E-5	1.996966218E-8
3.452879899E-3	8.690000000E-3	3.512527152E-5	1.683290803E-8
3.415522856E-3	8.890000000E-3	3.552325126E-5	1.972012943E-8
3.425125255E-3	9.090000000E-3	3.574975516E-5	1.568959866E-8
3.424480916E-3	9.290000000E-3	3.603853425E-5	2.109499339E-8
3.436384231E-3	9.490000000E-3	3.625419103E-5	2.430038209E-8
3.428777583E-3	9.690000000E-3	3.632698445E-5	2.462906068E-8
3.405091745E-3	9.890000000E-3	3.599039253E-5	2.226561238E-8
3.360532670E-3	1.009000000E-2	3.608194002E-5	1.742108438E-8
3.301805594E-3	1.029000000E-2	3.590906795E-5	1.899156698E-8
3.242902495E-3	1.049000000E-2	3.558021173E-5	1.472492723E-8
3.234314396E-3	1.069000000E-2	3.561242122E-5	1.623123872E-8
3.204367472E-3	1.089000000E-2	3.562235101E-5	1.711902066E-8
3.180541586E-3	1.109000000E-2	3.551121026E-5	1.600012299E-8
3.081054016E-3	1.129000000E-2	3.490663848E-5	1.056848356E-8
3.120380118E-3	1.149000000E-2	3.545854215E-5	1.977826349E-8
3.134059691E-3	1.169000000E-2	3.574169222E-5	1.914889118E-8
3.006657000E-3	1.189000000E-2	3.543705069E-5	1.090001606E-8
3.012585221E-3	1.209000000E-2	3.541818282E-5	1.193705913E-8
2.984663537E-3	1.229000000E-2	3.532408629E-5	1.449407677E-8
2.998914832E-3	1.249000000E-2	3.589946558E-5	1.821566203E-8
2.885302289E-3	1.269000000E-2	3.456361760E-5	9.855835108E-9
2.854520295E-3	1.289000000E-2	3.492714649E-5	1.053164072E-8
2.787962725E-3	1.309000000E-2	3.413660408E-5	1.077355588E-8
2.802526719E-3	1.329000000E-2	3.473331850E-5	9.431185442E-9
2.740427460E-3	1.349000000E-2	3.455987852E-5	1.351487514E-8
2.725081450E-3	1.369000000E-2	3.432869613E-5	8.924416371E-9
2.720722084E-3	1.389000000E-2	3.476402430E-5	1.079060942E-8
2.620218312E-3	1.409000000E-2	3.382837734E-5	1.000814926E-8
2.769474226E-3	1.429000000E-2	3.587692711E-5	1.397048456E-8
2.728988283E-3	1.449000000E-2	3.509806994E-5	1.159122928E-8
2.617481970E-3	1.469000000E-2	3.435332545E-5	1.230579626E-8
2.640944395E-3	1.489000000E-2	3.508994300E-5	9.218219318E-9
2.726286549E-3	1.509000000E-2	3.682501633E-5	1.446894034E-8
2.599237240E-3	1.529000000E-2	3.593508508E-5	9.228940695E-9
2.603603387E-3	1.549000000E-2	3.560060567E-5	9.232243212E-9
2.560299483E-3	1.569000000E-2	3.546542895E-5	8.204182828E-9
