Amplitude	Delay Time	width	Residual
2.828222679E-3	2.330000000E-3	5.528836503E-5	1.250210583E-8
2.721294585E-3	3.330000000E-3	6.079598174E-5	1.178020427E-8
2.380442695E-3	4.330000000E-3	6.173851791E-5	9.499581127E-9
2.045417109E-3	5.330000000E-3	6.380239603E-5	9.971332164E-9
1.773546130E-3	6.330000000E-3	6.705810676E-5	1.119489835E-8
1.479751143E-3	7.330000000E-3	7.027707863E-5	9.401606333E-9
1.231559560E-3	8.330000000E-3	6.972183203E-5	1.040193529E-8
9.420218662E-4	9.330000000E-3	7.844966769E-5	1.184556270E-8
6.968436490E-4	1.033000000E-2	7.923571283E-5	1.477799399E-8
4.725989571E-4	1.133000000E-2	8.821584292E-5	1.826931015E-8
5.696544918E-4	1.233000000E-2	4.022451359E-4	2.704369792E-8
4.895144465E-5	1.333000000E-2	2.218549717E-3	4.115467681E-8
4.101179897E-5	1.433000000E-2	8.773785218E-3	5.569713715E-8
3.705072270E-5	1.533000000E-2	1.308178570E-2	8.891504399E-8
-1.050985267E-3	1.633000000E-2	2.134403406E-5	6.938551094E-9
-1.916125408E-5	1.733000000E-2	3.947807225E-2	1.799085708E-7
-1.452015824E-3	1.833000000E-2	2.738596144E-5	7.650061101E-9
-1.578162280E-3	1.933000000E-2	2.883839642E-5	6.222425177E-9
-1.773669090E-3	2.033000000E-2	3.124357885E-5	1.299731449E-8
-1.875109678E-3	2.133000000E-2	3.067058341E-5	7.141523377E-9
-2.048060599E-3	2.233000000E-2	3.207816198E-5	1.041216731E-8
-2.254349872E-3	2.333000000E-2	3.358604616E-5	1.609058243E-8
-2.334405079E-3	2.433000000E-2	3.379836852E-5	1.365166448E-8
-2.482358865E-3	2.533000000E-2	3.473511522E-5	2.001330195E-8
-2.645759079E-3	2.633000000E-2	3.628975611E-5	2.283073157E-8
-2.788115093E-3	2.733000000E-2	3.690162870E-5	2.903085526E-8
-2.841347227E-3	2.833000000E-2	3.619310530E-5	2.827573370E-8
-2.863320878E-3	2.933000000E-2	3.582529921E-5	2.142323993E-8
-3.014086010E-3	3.033000000E-2	3.656495307E-5	2.548977805E-8
-3.082161149E-3	3.133000000E-2	3.706860608E-5	2.953004876E-8
-3.214309387E-3	3.233000000E-2	3.761418276E-5	3.543685848E-8
-3.331246591E-3	3.333000000E-2	3.831271647E-5	4.030906182E-8
-3.376842861E-3	3.433000000E-2	3.866614085E-5	3.715500393E-8
-3.411279972E-3	3.533000000E-2	3.871532516E-5	3.972762724E-8
-3.487976703E-3	3.633000000E-2	3.902159991E-5	3.810612558E-8
-3.592554323E-3	3.733000000E-2	3.931707629E-5	4.576271464E-8
-3.635083533E-3	3.833000000E-2	3.946569588E-5	4.187051675E-8
-3.725334266E-3	3.933000000E-2	3.935235697E-5	4.604633731E-8
-3.794073719E-3	4.033000000E-2	4.007923903E-5	5.489701655E-8
-3.807856507E-3	4.133000000E-2	3.968740894E-5	4.505240114E-8
-3.873114054E-3	4.233000000E-2	4.015955772E-5	5.830641529E-8
-3.897417740E-3	4.333000000E-2	4.035304712E-5	4.765161834E-8
-3.862270411E-3	4.433000000E-2	3.954089415E-5	3.825726972E-8
-3.818040095E-3	4.533000000E-2	3.831390083E-5	3.428219164E-8
-3.889587760E-3	4.633000000E-2	3.889747904E-5	3.993434850E-8
-3.867225928E-3	4.733000000E-2	3.909311321E-5	3.902846924E-8
-3.820115997E-3	4.833000000E-2	3.878354816E-5	3.712662484E-8
-3.817929724E-3	4.933000000E-2	3.881034052E-5	3.983329545E-8
-3.835203162E-3	5.033000000E-2	3.998704493E-5	4.682729145E-8
-3.869761835E-3	5.133000000E-2	4.006617438E-5	4.595187905E-8
-3.938485510E-3	5.233000000E-2	4.083415722E-5	5.036731084E-8
-3.888367716E-3	5.333000000E-2	3.985852806E-5	4.343086764E-8
-3.922018953E-3	5.433000000E-2	3.992209793E-5	4.090019524E-8
-3.909602072E-3	5.533000000E-2	3.965190540E-5	4.363604964E-8
-3.936231116E-3	5.633000000E-2	3.962835629E-5	4.282856891E-8
-3.948937551E-3	5.733000000E-2	3.978853432E-5	4.187117922E-8
-3.947093988E-3	5.833000000E-2	4.043621545E-5	3.996789187E-8
-3.914500287E-3	5.933000000E-2	3.987899564E-5	3.628330511E-8
