Amplitude	Delay Time	width	Residual
3.028662949E-3	2.330000000E-3	5.702936579E-5	1.242576166E-8
3.115970711E-3	3.330000000E-3	6.113489307E-5	1.444718162E-8
2.828086808E-3	4.330000000E-3	6.263249443E-5	1.427256147E-8
2.586478603E-3	5.330000000E-3	6.449186636E-5	1.476719480E-8
2.294339062E-3	6.330000000E-3	6.478575558E-5	1.040788038E-8
2.093857778E-3	7.330000000E-3	6.604743707E-5	8.678300563E-9
1.901095386E-3	8.330000000E-3	6.809784748E-5	1.391199780E-8
1.590765065E-3	9.330000000E-3	6.623851173E-5	8.801178608E-9
1.473708535E-3	1.033000000E-2	7.129299278E-5	1.053736629E-8
1.240202208E-3	1.133000000E-2	7.247459566E-5	1.009234325E-8
1.044843784E-3	1.233000000E-2	7.632575038E-5	1.335439201E-8
8.497448030E-4	1.333000000E-2	7.761771267E-5	1.180082105E-8
6.515130944E-4	1.433000000E-2	7.916228947E-5	1.486671259E-8
5.480194377E-4	1.533000000E-2	8.542834985E-5	1.810593948E-8
4.222945325E-4	1.633000000E-2	8.958286359E-5	2.185972922E-8
3.776826703E-4	1.733000000E-2	8.772285870E-5	3.073793095E-8
2.849218804E-4	1.833000000E-2	4.710987538E-5	2.711229857E-8
7.432013585E-5	1.933000000E-2	3.728180248E-3	5.074774147E-8
9.112339766E-5	2.033000000E-2	1.022665035E-2	6.679187428E-8
3.339730110E-6	2.133000000E-2	1.260831537E-2	9.082203639E-8
2.050904337E-5	2.233000000E-2	1.558288432E-2	1.259238989E-7
3.412933154E-5	2.333000000E-2	3.434640215E-2	1.533231018E-7
1.213674837E-5	2.433000000E-2	4.484288658E-2	2.090622153E-7
-1.430359779E-3	2.533000000E-2	2.778352757E-5	6.760609954E-9
-8.737276066E-5	2.633000000E-2	7.523324711E-2	2.883296067E-7
-1.722238429E-3	2.733000000E-2	3.058280635E-5	9.374330063E-9
-1.786509776E-3	2.833000000E-2	3.080833171E-5	7.842523820E-9
-1.974570965E-3	2.933000000E-2	3.296578371E-5	1.166694234E-8
-2.104470422E-3	3.033000000E-2	3.359834321E-5	1.634931132E-8
-2.180511209E-3	3.133000000E-2	3.438243518E-5	1.562221637E-8
-2.345664776E-3	3.233000000E-2	3.519761446E-5	2.005894922E-8
-2.414332768E-3	3.333000000E-2	3.526152474E-5	2.083334140E-8
-2.470481430E-3	3.433000000E-2	3.456021860E-5	1.549398208E-8
-2.550526979E-3	3.533000000E-2	3.734975725E-5	2.671474729E-8
-2.663014410E-3	3.633000000E-2	3.666740386E-5	2.547050428E-8
-2.737257778E-3	3.733000000E-2	3.727346766E-5	2.534339855E-8
-2.815177689E-3	3.833000000E-2	3.750028777E-5	2.430566209E-8
-2.876211621E-3	3.933000000E-2	3.760635871E-5	2.483766485E-8
-2.991416766E-3	4.033000000E-2	3.760426906E-5	2.703297243E-8
-3.007504844E-3	4.133000000E-2	3.790655059E-5	2.849253189E-8
-3.078073864E-3	4.233000000E-2	3.833854179E-5	2.818020833E-8
-3.164338163E-3	4.333000000E-2	3.913987142E-5	3.781660440E-8
-3.229069273E-3	4.433000000E-2	3.737319489E-5	3.157701950E-8
-3.226751240E-3	4.533000000E-2	3.733036038E-5	2.631691207E-8
-3.325980109E-3	4.633000000E-2	3.827545431E-5	3.649957524E-8
-3.291535314E-3	4.733000000E-2	3.857727730E-5	3.310143572E-8
-3.267275096E-3	4.833000000E-2	3.798253155E-5	3.289334605E-8
-3.290136701E-3	4.933000000E-2	3.909927687E-5	3.973245098E-8
-3.354757035E-3	5.033000000E-2	3.975951690E-5	4.172663106E-8
-3.309702777E-3	5.133000000E-2	3.898418896E-5	3.199255032E-8
-3.336793466E-3	5.233000000E-2	3.938540401E-5	3.682141915E-8
-3.360862296E-3	5.333000000E-2	3.983178239E-5	3.341654382E-8
-3.465645570E-3	5.433000000E-2	3.944434487E-5	3.892458141E-8
-3.437865159E-3	5.533000000E-2	3.902806226E-5	2.910451678E-8
-3.516400309E-3	5.633000000E-2	3.897953773E-5	3.319249957E-8
