Amplitude	Delay Time	width	Residual
2.483815776E-3	4.900000000E-4	2.661488514E-5	5.074477041E-8
2.066722358E-3	6.900000000E-4	2.768360946E-5	5.373323169E-8
1.670139710E-3	8.900000000E-4	2.817703698E-5	3.795146483E-8
1.338029583E-3	1.090000000E-3	2.807886767E-5	2.235034413E-8
1.037870076E-3	1.290000000E-3	2.731565111E-5	1.439962874E-8
7.844555656E-4	1.490000000E-3	2.661093104E-5	1.404372710E-8
6.588504057E-4	1.690000000E-3	2.619124564E-5	7.207371396E-9
5.014315139E-4	1.890000000E-3	2.497917015E-5	6.873822971E-9
3.961986464E-4	2.090000000E-3	2.333639360E-5	6.018021627E-9
3.297074715E-4	2.290000000E-3	2.303082642E-5	3.142605647E-9
3.259163486E-4	2.490000000E-3	2.597130469E-5	1.081497485E-9
2.756955824E-4	2.690000000E-3	2.807099886E-5	7.528745599E-10
2.028190541E-4	2.890000000E-3	2.301647585E-5	1.074524517E-9
1.599087145E-4	3.090000000E-3	2.072462165E-5	9.938776311E-10
1.059106079E-4	3.290000000E-3	1.749468103E-5	1.563281183E-9
