Amplitude	Delay Time	width	Residual
4.028031257E-3	6.900000000E-4	3.228760289E-5	5.594642504E-8
3.801739736E-3	8.900000000E-4	3.205287987E-5	5.788587612E-8
3.517547945E-3	1.090000000E-3	3.179405973E-5	5.157871053E-8
3.339365280E-3	1.290000000E-3	3.178371382E-5	4.430605554E-8
3.148447656E-3	1.490000000E-3	3.186296927E-5	3.379192414E-8
3.001270105E-3	1.690000000E-3	3.179829633E-5	3.128004911E-8
2.799567542E-3	1.890000000E-3	3.216546643E-5	2.292004880E-8
2.678313899E-3	2.090000000E-3	3.226093643E-5	1.972400820E-8
2.508291078E-3	2.290000000E-3	3.273411105E-5	1.439989160E-8
2.310331254E-3	2.490000000E-3	3.231207887E-5	1.761810747E-8
2.089653720E-3	2.690000000E-3	3.145100777E-5	2.204891486E-8
2.001369778E-3	2.890000000E-3	3.162548015E-5	1.187096789E-8
1.896384805E-3	3.090000000E-3	3.212447596E-5	1.209153967E-8
1.688666189E-3	3.490000000E-3	3.240044524E-5	6.207856560E-9
1.591959194E-3	3.690000000E-3	3.170716602E-5	7.567893680E-9
1.504884564E-3	3.890000000E-3	3.205897897E-5	6.064816540E-9
1.433565490E-3	4.090000000E-3	3.231207700E-5	3.638092074E-9
1.282838092E-3	4.290000000E-3	3.127275672E-5	8.341756778E-9
1.246010031E-3	4.490000000E-3	3.210288343E-5	3.930257327E-9
1.214276946E-3	4.690000000E-3	3.233506241E-5	3.589993939E-9
1.076704026E-3	4.890000000E-3	3.030739571E-5	4.835946094E-9
1.069884470E-3	5.090000000E-3	3.176245186E-5	1.693940124E-9
1.029247118E-3	5.290000000E-3	3.299505208E-5	1.953815120E-9
8.740470201E-4	5.490000000E-3	3.114974035E-5	2.635114343E-9
7.985741236E-4	5.690000000E-3	2.930868372E-5	6.196142929E-9
8.484838198E-4	5.890000000E-3	3.203708926E-5	2.435825966E-9
8.432827306E-4	6.090000000E-3	3.365717776E-5	3.749496338E-9
