Amplitude	Delay Time	width	Residual
4.215080359E-3	2.090000000E-3	3.881998872E-5	5.177277921E-8
4.242290877E-3	2.290000000E-3	3.975584147E-5	7.509859779E-8
4.196324730E-3	2.490000000E-3	4.009058576E-5	7.608638791E-8
4.137525187E-3	2.690000000E-3	4.031823266E-5	8.308926125E-8
4.096336337E-3	2.890000000E-3	4.082941035E-5	7.592154863E-8
4.021631970E-3	3.090000000E-3	4.064484371E-5	6.494669560E-8
3.928729340E-3	3.290000000E-3	4.000480310E-5	5.937182296E-8
3.832490150E-3	3.490000000E-3	3.955399048E-5	5.443227915E-8
3.721344459E-3	3.690000000E-3	3.906977381E-5	4.709956247E-8
3.610763712E-3	3.890000000E-3	3.840103922E-5	4.805552282E-8
3.588402443E-3	4.090000000E-3	3.847283220E-5	4.186223908E-8
3.511786473E-3	4.290000000E-3	3.836098952E-5	4.167579441E-8
3.576322927E-3	4.490000000E-3	3.968406643E-5	4.730797296E-8
3.512995322E-3	4.690000000E-3	4.038781736E-5	5.144169289E-8
3.505898017E-3	4.890000000E-3	4.071950465E-5	5.583812850E-8
3.396761084E-3	5.090000000E-3	4.057195978E-5	5.314663765E-8
3.283893946E-3	5.290000000E-3	3.952955744E-5	5.352045650E-8
3.234114306E-3	5.490000000E-3	3.822271377E-5	4.062336724E-8
3.076644338E-3	5.690000000E-3	3.753055727E-5	2.598859193E-8
3.061974302E-3	5.890000000E-3	3.796391170E-5	2.998482983E-8
3.033068855E-3	6.090000000E-3	3.800336570E-5	2.537171028E-8
2.960870776E-3	6.290000000E-3	3.726380576E-5	1.950148572E-8
2.936946772E-3	6.490000000E-3	3.769632950E-5	3.469434893E-8
2.972918040E-3	6.690000000E-3	3.946784234E-5	3.669334903E-8
2.960173437E-3	6.890000000E-3	4.044431448E-5	4.009162576E-8
2.840926079E-3	7.090000000E-3	3.959522066E-5	3.079932247E-8
2.767443776E-3	7.290000000E-3	3.814413350E-5	2.635154593E-8
2.735485419E-3	7.490000000E-3	3.807438660E-5	2.590133419E-8
2.691640539E-3	7.690000000E-3	3.928018740E-5	2.884383737E-8
2.713768048E-3	7.890000000E-3	4.023505606E-5	3.763744252E-8
2.642144668E-3	8.090000000E-3	3.877788928E-5	3.378809770E-8
2.545342684E-3	8.290000000E-3	3.949741804E-5	2.973335928E-8
2.565779626E-3	8.490000000E-3	3.965704094E-5	3.567094796E-8
2.426626642E-3	8.690000000E-3	3.749830368E-5	2.069269904E-8
2.404869809E-3	8.890000000E-3	3.809388612E-5	2.455085540E-8
2.392463208E-3	9.090000000E-3	3.855097714E-5	1.996630747E-8
2.381675608E-3	9.290000000E-3	3.855752472E-5	2.431606741E-8
2.307879928E-3	9.490000000E-3	3.852224800E-5	1.861298345E-8
