Amplitude	Delay Time	width	Residual
4.239372454E-3	4.490000000E-3	3.661799487E-5	2.388112753E-8
4.159864918E-3	4.690000000E-3	3.526975776E-5	2.434881529E-8
4.085198523E-3	4.890000000E-3	3.522387761E-5	2.310696017E-8
4.133023779E-3	5.090000000E-3	3.475792737E-5	2.849097260E-8
4.150035020E-3	5.290000000E-3	3.470529255E-5	2.520650645E-8
4.093486554E-3	5.490000000E-3	3.439827993E-5	3.219161436E-8
4.073076222E-3	5.690000000E-3	3.454285363E-5	2.292641394E-8
4.126840603E-3	5.890000000E-3	3.539181618E-5	2.413017027E-8
4.113768441E-3	6.090000000E-3	3.508583289E-5	2.282079408E-8
4.016276376E-3	6.290000000E-3	3.463582565E-5	2.514068144E-8
4.013312185E-3	6.490000000E-3	3.495738558E-5	2.178653793E-8
3.952153281E-3	6.690000000E-3	3.467057295E-5	2.112490054E-8
3.967820139E-3	6.890000000E-3	3.462239914E-5	2.556330568E-8
3.965917602E-3	7.090000000E-3	3.479810505E-5	2.238458081E-8
3.900751864E-3	7.290000000E-3	3.472073335E-5	2.054374319E-8
3.820745871E-3	7.490000000E-3	3.400455060E-5	2.012960871E-8
3.851190795E-3	7.690000000E-3	3.451446402E-5	2.544998541E-8
3.738467093E-3	7.890000000E-3	3.378293411E-5	2.569388655E-8
3.748999195E-3	8.090000000E-3	3.434745435E-5	1.740934634E-8
3.740418758E-3	8.290000000E-3	3.453975609E-5	2.115319262E-8
3.782529481E-3	8.490000000E-3	3.486088043E-5	2.140888412E-8
3.686817968E-3	8.690000000E-3	3.452766104E-5	1.683703263E-8
3.660865536E-3	8.890000000E-3	3.428582267E-5	2.037046263E-8
3.600870511E-3	9.090000000E-3	3.411215277E-5	2.167517948E-8
3.550953471E-3	9.290000000E-3	3.390020384E-5	2.120083107E-8
3.661247665E-3	9.490000000E-3	3.484576836E-5	2.453224451E-8
3.578962211E-3	9.690000000E-3	3.468667363E-5	2.157676014E-8
3.488621464E-3	9.890000000E-3	3.405179785E-5	2.222174547E-8
3.505163944E-3	1.009000000E-2	3.448773772E-5	1.812289853E-8
3.472696437E-3	1.029000000E-2	3.427951991E-5	1.992270522E-8
3.428712320E-3	1.049000000E-2	3.391943358E-5	1.927662001E-8
3.416324274E-3	1.069000000E-2	3.444126703E-5	1.917334633E-8
3.372677746E-3	1.089000000E-2	3.450595185E-5	1.690287152E-8
3.352369438E-3	1.109000000E-2	3.453696350E-5	1.638464599E-8
3.403866710E-3	1.129000000E-2	3.497892370E-5	1.784229579E-8
3.308994613E-3	1.149000000E-2	3.452097205E-5	1.640158984E-8
3.285942240E-3	1.169000000E-2	3.371205906E-5	1.791852123E-8
3.187011823E-3	1.189000000E-2	3.352600371E-5	2.122787043E-8
3.190794985E-3	1.209000000E-2	3.422209977E-5	1.546453877E-8
3.204928661E-3	1.229000000E-2	3.447020807E-5	1.719019485E-8
3.184651021E-3	1.249000000E-2	3.430469539E-5	1.631237132E-8
3.236054304E-3	1.269000000E-2	3.542523188E-5	1.717534277E-8
3.105360420E-3	1.289000000E-2	3.391668536E-5	1.604291588E-8
3.086627933E-3	1.309000000E-2	3.408179391E-5	1.735998782E-8
3.056299529E-3	1.329000000E-2	3.431113523E-5	1.608806585E-8
2.979402156E-3	1.349000000E-2	3.319760368E-5	1.926893317E-8
3.035221142E-3	1.369000000E-2	3.442393182E-5	1.725208891E-8
3.024610641E-3	1.389000000E-2	3.490413251E-5	1.361850230E-8
2.982009427E-3	1.409000000E-2	3.456692218E-5	1.279684072E-8
2.991513489E-3	1.429000000E-2	3.450701688E-5	1.183630375E-8
2.941137877E-3	1.449000000E-2	3.416535179E-5	1.483860801E-8
2.974577043E-3	1.469000000E-2	3.534802085E-5	1.275964735E-8
