Amplitude	Delay Time	width	Residual
2.644973691E-3	1.090000000E-3	3.284426693E-5	1.451835646E-8
2.334188660E-3	1.290000000E-3	3.239267237E-5	1.021412085E-8
2.105796387E-3	1.490000000E-3	3.222118489E-5	1.019896611E-8
1.988347477E-3	1.690000000E-3	3.313758915E-5	6.669771759E-9
1.756172647E-3	1.890000000E-3	3.222568352E-5	5.784959666E-9
1.607863507E-3	2.090000000E-3	3.325782312E-5	4.953432524E-9
1.488997083E-3	2.290000000E-3	3.283511203E-5	5.037091257E-9
1.265194013E-3	2.490000000E-3	3.176646502E-5	3.258643149E-9
1.176610602E-3	2.690000000E-3	3.284718874E-5	3.495847019E-9
9.942971900E-4	2.890000000E-3	3.149521219E-5	2.100073522E-9
9.276833199E-4	3.090000000E-3	3.216628261E-5	1.476083705E-9
7.982588395E-4	3.290000000E-3	3.044100760E-5	1.458037080E-9
7.627306106E-4	3.490000000E-3	3.123899309E-5	6.746962835E-10
6.910281877E-4	3.690000000E-3	3.279037008E-5	1.900846406E-9
6.446710815E-4	3.890000000E-3	3.226239563E-5	1.949972936E-9
6.151430974E-4	4.090000000E-3	3.181429136E-5	3.310862665E-9
5.019935558E-4	4.290000000E-3	3.219047452E-5	6.393085686E-10
4.164242711E-4	4.490000000E-3	2.672147316E-5	2.532597336E-9
3.825811400E-4	4.690000000E-3	2.566155941E-5	1.455046821E-9
3.570024751E-4	4.890000000E-3	3.142634006E-5	4.843492049E-10
3.147898989E-4	5.090000000E-3	2.385150469E-5	1.303088435E-9
2.942844684E-4	5.290000000E-3	2.574345417E-5	5.970038752E-10
3.132668628E-4	5.490000000E-3	2.833858734E-5	4.126607137E-10
2.664036523E-4	5.690000000E-3	2.841307287E-5	9.576668302E-10
