Amplitude	Delay Time	width	Residual
4.048853573E-3	1.090000000E-3	3.254772131E-5	3.895885840E-8
3.996083176E-3	1.290000000E-3	3.314545816E-5	2.998287621E-8
4.002909727E-3	1.490000000E-3	3.345373412E-5	2.660405447E-8
3.937277403E-3	1.690000000E-3	3.310571716E-5	3.150731152E-8
3.796694824E-3	1.890000000E-3	3.268664050E-5	3.036048138E-8
3.769439070E-3	2.090000000E-3	3.409237400E-5	2.483041229E-8
3.639091588E-3	2.290000000E-3	3.411700919E-5	2.340431654E-8
3.479440662E-3	2.490000000E-3	3.372090487E-5	1.824528659E-8
3.416180271E-3	2.690000000E-3	3.443901582E-5	2.262056879E-8
3.292409411E-3	2.890000000E-3	3.361844099E-5	1.699890728E-8
3.225530909E-3	3.090000000E-3	3.313057353E-5	1.916371164E-8
3.123021226E-3	3.290000000E-3	3.348333541E-5	1.562663843E-8
3.086701668E-3	3.490000000E-3	3.400928174E-5	1.620293905E-8
2.984709659E-3	3.690000000E-3	3.416539802E-5	1.339054096E-8
2.914238444E-3	3.890000000E-3	3.393610048E-5	1.372558573E-8
2.820229933E-3	4.090000000E-3	3.367299656E-5	1.347086040E-8
2.730660895E-3	4.290000000E-3	3.331589365E-5	1.165323528E-8
2.658235441E-3	4.490000000E-3	3.368093127E-5	1.259471179E-8
2.659307410E-3	4.690000000E-3	3.423620994E-5	1.488690281E-8
2.572483671E-3	4.890000000E-3	3.399532966E-5	1.095610034E-8
2.396521754E-3	5.090000000E-3	3.278176734E-5	9.919157445E-9
2.435130624E-3	5.290000000E-3	3.413205842E-5	1.203670929E-8
2.395351625E-3	5.490000000E-3	3.375073690E-5	1.261892179E-8
2.167039824E-3	5.690000000E-3	3.261853193E-5	1.016125968E-8
2.254218440E-3	5.890000000E-3	3.408175293E-5	7.674759482E-9
2.200270241E-3	6.090000000E-3	3.349680525E-5	9.510479264E-9
2.095012239E-3	6.290000000E-3	3.267478334E-5	9.581473836E-9
2.054461198E-3	6.490000000E-3	3.390662840E-5	8.777672435E-9
1.948507974E-3	6.690000000E-3	3.272354547E-5	8.478604442E-9
1.984754006E-3	6.890000000E-3	3.442639056E-5	7.011878584E-9
1.924400771E-3	7.090000000E-3	3.429829103E-5	6.556807758E-9
1.800148531E-3	7.290000000E-3	3.276056985E-5	5.150558839E-9
1.810994508E-3	7.490000000E-3	3.336965111E-5	5.355603910E-9
1.795381554E-3	7.690000000E-3	3.454574333E-5	7.012224911E-9
1.718828484E-3	7.890000000E-3	3.314444027E-5	6.100302583E-9
1.596994220E-3	8.090000000E-3	3.332930331E-5	5.176429804E-9
1.614360936E-3	8.290000000E-3	3.308144926E-5	5.568109289E-9
1.632166253E-3	8.490000000E-3	3.399682621E-5	7.123350066E-9
1.513024728E-3	8.690000000E-3	3.265781749E-5	4.842861413E-9
1.502988841E-3	8.890000000E-3	3.335376960E-5	3.328657979E-9
1.484819551E-3	9.090000000E-3	3.371801328E-5	5.189552586E-9
1.384929544E-3	9.290000000E-3	3.296116567E-5	2.559607374E-9
1.398012138E-3	9.490000000E-3	3.347499715E-5	5.632567251E-9
1.303764624E-3	9.690000000E-3	3.231043162E-5	2.887938378E-9
1.376137683E-3	9.890000000E-3	3.422203105E-5	5.540701885E-9
1.293210035E-3	1.009000000E-2	3.421057090E-5	2.008096218E-9
1.303753547E-3	1.029000000E-2	3.331459961E-5	3.691059354E-9
1.192818706E-3	1.049000000E-2	3.183770295E-5	2.940973874E-9
1.178252244E-3	1.069000000E-2	3.221234722E-5	4.013742524E-9
1.120730159E-3	1.089000000E-2	3.161560150E-5	3.500486282E-9
1.120368217E-3	1.109000000E-2	3.258974724E-5	3.729428927E-9
1.094969760E-3	1.129000000E-2	3.434878966E-5	3.223926287E-9
1.040235957E-3	1.149000000E-2	3.134073460E-5	2.320344026E-9
1.068278742E-3	1.169000000E-2	3.332480385E-5	2.475286588E-9
1.054662901E-3	1.189000000E-2	3.337380298E-5	3.987186467E-9
9.321836499E-4	1.209000000E-2	3.159018531E-5	2.162410690E-9
9.773208592E-4	1.229000000E-2	3.375795926E-5	2.875660634E-9
9.290950740E-4	1.249000000E-2	3.195419057E-5	1.507549296E-9
9.567026157E-4	1.269000000E-2	3.420960158E-5	3.499741132E-9
8.464428470E-4	1.289000000E-2	3.082185815E-5	2.150787319E-9
8.814315468E-4	1.309000000E-2	3.143583667E-5	2.306768258E-9
8.553324862E-4	1.329000000E-2	3.248811100E-5	1.937277547E-9
