Amplitude	Delay Time	width	Residual
4.021394841E-3	6.490000000E-3	3.388858632E-5	2.875333604E-8
4.092856085E-3	6.690000000E-3	3.456851809E-5	2.459391531E-8
4.074611281E-3	6.890000000E-3	3.392953843E-5	2.581464607E-8
4.026353891E-3	7.090000000E-3	3.381069470E-5	2.588964826E-8
3.996267851E-3	7.290000000E-3	3.354200340E-5	2.868098737E-8
3.980659695E-3	7.490000000E-3	3.376137451E-5	2.604047520E-8
3.908593734E-3	7.690000000E-3	3.338292624E-5	2.972704598E-8
3.991699141E-3	7.890000000E-3	3.453256836E-5	2.356445281E-8
3.862868551E-3	8.090000000E-3	3.291391690E-5	2.983819456E-8
3.930558500E-3	8.290000000E-3	3.380014496E-5	2.862061198E-8
3.972375700E-3	8.490000000E-3	3.425425879E-5	2.569899800E-8
3.991220717E-3	8.690000000E-3	3.401605525E-5	2.840357707E-8
3.948912293E-3	8.890000000E-3	3.402878109E-5	2.804871208E-8
3.822353504E-3	9.090000000E-3	3.337741114E-5	2.963111431E-8
3.836195826E-3	9.290000000E-3	3.365448297E-5	2.591147571E-8
3.747939362E-3	9.490000000E-3	3.313334660E-5	2.881758504E-8
3.822115720E-3	9.690000000E-3	3.385956269E-5	2.642024493E-8
3.802352708E-3	9.890000000E-3	3.337439889E-5	2.823218830E-8
3.767092978E-3	1.009000000E-2	3.328832301E-5	2.765951434E-8
3.744218033E-3	1.029000000E-2	3.341343878E-5	2.697057050E-8
3.795760894E-3	1.049000000E-2	3.409525902E-5	2.293403771E-8
3.711570690E-3	1.069000000E-2	3.365624402E-5	2.510088016E-8
3.721936078E-3	1.089000000E-2	3.386431576E-5	2.284193495E-8
3.777300172E-3	1.109000000E-2	3.385403314E-5	2.626662586E-8
3.753414225E-3	1.129000000E-2	3.417733076E-5	2.317386244E-8
3.666714289E-3	1.149000000E-2	3.378276159E-5	2.145492298E-8
3.690228589E-3	1.169000000E-2	3.370974878E-5	2.466750405E-8
3.627664814E-3	1.189000000E-2	3.369999599E-5	2.765418033E-8
3.594916287E-3	1.209000000E-2	3.386088076E-5	2.535762214E-8
3.596094123E-3	1.229000000E-2	3.410493855E-5	2.108537845E-8
3.596900955E-3	1.249000000E-2	3.441549610E-5	2.120150602E-8
3.557981303E-3	1.269000000E-2	3.393550791E-5	2.279928273E-8
3.478487763E-3	1.289000000E-2	3.348116904E-5	2.491108395E-8
3.511283765E-3	1.309000000E-2	3.355892996E-5	2.642525520E-8
3.449819201E-3	1.329000000E-2	3.289910391E-5	2.973548117E-8
3.437350035E-3	1.349000000E-2	3.375888217E-5	2.118861159E-8
3.404977366E-3	1.369000000E-2	3.356546428E-5	2.288061425E-8
3.366813678E-3	1.389000000E-2	3.300377860E-5	2.497797379E-8
3.400283710E-3	1.409000000E-2	3.371168630E-5	1.925113125E-8
3.449827822E-3	1.429000000E-2	3.403965198E-5	1.576905068E-8
3.492057157E-3	1.449000000E-2	3.477912687E-5	1.938277492E-8
3.425070401E-3	1.469000000E-2	3.469040967E-5	1.726919892E-8
3.375492833E-3	1.489000000E-2	3.411796772E-5	1.668618269E-8
3.299766150E-3	1.509000000E-2	3.401668332E-5	1.731802075E-8
3.291893978E-3	1.529000000E-2	3.367667303E-5	1.909436389E-8
3.263833912E-3	1.549000000E-2	3.361580567E-5	1.745768332E-8
3.246459166E-3	1.569000000E-2	3.412254107E-5	1.474527693E-8
3.258431974E-3	1.589000000E-2	3.409024610E-5	1.382474325E-8
3.239823984E-3	1.609000000E-2	3.419181181E-5	1.519190665E-8
3.265240247E-3	1.629000000E-2	3.447926949E-5	1.411608963E-8
3.251466142E-3	1.649000000E-2	3.468810582E-5	1.551730174E-8
3.225775719E-3	1.669000000E-2	3.456788973E-5	1.490811543E-8
3.204548483E-3	1.689000000E-2	3.400292592E-5	1.798995050E-8
3.170204091E-3	1.709000000E-2	3.447020285E-5	1.643235767E-8
3.180497092E-3	1.729000000E-2	3.509258167E-5	1.469974069E-8
3.133982008E-3	1.749000000E-2	3.381591727E-5	1.896043637E-8
3.011353968E-3	1.769000000E-2	3.348243474E-5	1.973025629E-8
3.137611244E-3	1.789000000E-2	3.504542455E-5	1.305561682E-8
3.029416630E-3	1.809000000E-2	3.401856323E-5	1.448854033E-8
3.066257436E-3	1.829000000E-2	3.454592918E-5	1.431619248E-8
3.006947705E-3	1.849000000E-2	3.406106668E-5	1.621801387E-8
2.979399806E-3	1.869000000E-2	3.425042817E-5	1.623256498E-8
3.005309849E-3	1.889000000E-2	3.507438913E-5	1.055499414E-8
3.012364515E-3	1.909000000E-2	3.453867322E-5	1.269930572E-8
3.022771590E-3	1.929000000E-2	3.490241627E-5	1.418475956E-8
