Amplitude	Delay Time	width	Residual
2.297564606E-3	6.900000000E-4	3.216747195E-5	1.254974798E-8
1.831772573E-3	8.900000000E-4	3.146929123E-5	1.235216672E-8
1.352322280E-3	1.090000000E-3	3.005193981E-5	9.712987495E-9
1.067289132E-3	1.290000000E-3	2.816997012E-5	1.781220031E-8
8.865074439E-4	1.490000000E-3	2.992926259E-5	5.534000868E-9
7.023082756E-4	1.690000000E-3	2.811301768E-5	3.585351494E-9
5.703791359E-4	1.890000000E-3	2.800209826E-5	2.063628068E-9
5.407882054E-4	2.090000000E-3	3.096240665E-5	9.476294192E-10
4.327671822E-4	2.290000000E-3	2.968017671E-5	9.656127582E-10
2.681910098E-4	2.490000000E-3	2.499556404E-5	1.625682477E-9
2.450863928E-4	2.690000000E-3	2.313902311E-5	1.165206542E-9
2.395386346E-4	2.890000000E-3	2.688795235E-5	6.538919119E-10
2.089538677E-4	3.090000000E-3	2.558204317E-5	5.534706128E-10
1.585409634E-4	3.290000000E-3	2.520453870E-5	1.025688423E-9
1.165994425E-4	3.490000000E-3	1.735439771E-5	8.164160019E-10
1.244242410E-4	3.690000000E-3	2.462929605E-5	1.248292497E-9
1.124263621E-4	3.890000000E-3	2.510404512E-5	1.574656282E-9
