Amplitude	Delay Time	width	Residual
3.018840221E-3	2.330000000E-3	5.825907284E-5	1.340754630E-8
3.026598353E-3	3.330000000E-3	6.306829068E-5	1.849120027E-8
2.666856976E-3	4.330000000E-3	6.344153536E-5	1.381867918E-8
2.391453531E-3	5.330000000E-3	6.428886461E-5	1.194025246E-8
2.108286105E-3	6.330000000E-3	6.528659825E-5	9.789201664E-9
1.863991598E-3	7.330000000E-3	6.605484169E-5	9.458726176E-9
1.616716517E-3	8.330000000E-3	6.975879939E-5	1.027444642E-8
1.398582521E-3	9.330000000E-3	6.879205632E-5	9.454180125E-9
1.151688470E-3	1.033000000E-2	7.185224998E-5	9.845663363E-9
9.698717250E-4	1.133000000E-2	7.726510008E-5	1.424855778E-8
7.457245161E-4	1.233000000E-2	7.941375793E-5	1.371177499E-8
5.545352211E-4	1.333000000E-2	8.322459709E-5	1.599899689E-8
4.375785618E-4	1.433000000E-2	9.760153644E-5	2.103391354E-8
3.779326408E-4	1.533000000E-2	8.431258014E-5	3.513830138E-8
7.444784335E-5	1.633000000E-2	2.378251164E-3	3.728441213E-8
4.803239411E-5	1.733000000E-2	7.801491416E-3	4.897856409E-8
6.856526496E-5	1.833000000E-2	1.060681894E-2	7.475591219E-8
7.550761958E-5	1.933000000E-2	1.540931965E-2	1.137519457E-7
2.681969913E-5	2.033000000E-2	3.543167744E-2	1.476086169E-7
-6.554381314E-5	2.133000000E-2	3.544666533E-2	1.784474921E-7
-1.406512255E-3	2.233000000E-2	2.712156410E-5	4.877784603E-9
-1.536831255E-3	2.333000000E-2	2.847555315E-5	4.850567238E-9
-1.723033004E-3	2.433000000E-2	2.967603315E-5	6.197876996E-9
-1.803124881E-3	2.533000000E-2	3.135217881E-5	9.178257288E-9
-2.012502121E-3	2.633000000E-2	3.393932167E-5	1.821758611E-8
-2.095523340E-3	2.733000000E-2	3.354737510E-5	1.123466606E-8
-2.237896413E-3	2.833000000E-2	3.397195227E-5	1.208893454E-8
-2.298276376E-3	2.933000000E-2	3.433348744E-5	1.866244549E-8
-2.461180153E-3	3.033000000E-2	3.642075380E-5	2.498856474E-8
-2.577017938E-3	3.133000000E-2	3.653163350E-5	1.836602900E-8
-2.681673981E-3	3.233000000E-2	3.686140068E-5	2.341841902E-8
-2.733051833E-3	3.333000000E-2	3.717022316E-5	2.246341957E-8
-2.835488161E-3	3.433000000E-2	3.812832794E-5	2.963655214E-8
-2.783841774E-3	3.533000000E-2	3.631502490E-5	1.916741728E-8
-3.006292029E-3	3.633000000E-2	3.822394855E-5	3.034267728E-8
-3.073518725E-3	3.733000000E-2	3.854757318E-5	3.280017885E-8
-3.176617394E-3	3.833000000E-2	3.885284617E-5	3.231857263E-8
-3.253596647E-3	3.933000000E-2	3.869600482E-5	3.132959260E-8
-3.340740403E-3	4.033000000E-2	3.975945567E-5	4.268142983E-8
-3.396493789E-3	4.133000000E-2	3.927822318E-5	3.576740454E-8
-3.408946288E-3	4.233000000E-2	3.959090402E-5	3.441924089E-8
-3.476239799E-3	4.333000000E-2	3.964310783E-5	3.601755379E-8
-3.492618855E-3	4.433000000E-2	3.883339278E-5	3.034460865E-8
-3.536160173E-3	4.533000000E-2	3.934087729E-5	3.913242488E-8
-3.618548003E-3	4.633000000E-2	3.912618433E-5	4.097200302E-8
-3.560438995E-3	4.733000000E-2	3.925824469E-5	3.397486564E-8
-3.609083383E-3	4.833000000E-2	4.006437940E-5	4.370426338E-8
-3.589203830E-3	4.933000000E-2	3.991048922E-5	3.935193727E-8
-3.544385290E-3	5.033000000E-2	4.007993759E-5	3.421102843E-8
-3.569750931E-3	5.133000000E-2	4.075780784E-5	3.886620369E-8
-3.615667918E-3	5.233000000E-2	4.035186815E-5	3.977929369E-8
-3.648875203E-3	5.333000000E-2	4.071324596E-5	4.035206080E-8
-3.665193296E-3	5.433000000E-2	4.065931700E-5	4.147120482E-8
-3.730226993E-3	5.533000000E-2	4.080608257E-5	4.424809421E-8
-3.733923736E-3	5.633000000E-2	3.987111757E-5	4.450021143E-8
-3.703382922E-3	5.733000000E-2	3.949964867E-5	3.487164508E-8
-3.749474755E-3	5.833000000E-2	4.001264735E-5	3.579378410E-8
