Amplitude	Delay Time	width	Residual
2.630342123E-3	6.900000000E-4	3.865798036E-5	1.463633216E-8
2.041679064E-3	8.900000000E-4	3.582111008E-5	4.130209786E-9
1.665464166E-3	1.090000000E-3	3.495001311E-5	1.581215809E-9
1.409758908E-3	1.290000000E-3	3.522737838E-5	2.877779954E-9
1.229212751E-3	1.490000000E-3	3.567155430E-5	3.797735832E-9
9.732581205E-4	1.690000000E-3	3.470523904E-5	8.202415772E-10
8.622827827E-4	1.890000000E-3	3.846389524E-5	3.274932987E-9
6.954513190E-4	2.090000000E-3	3.710923054E-5	2.112649963E-9
6.100254356E-4	2.290000000E-3	3.412012511E-5	3.203752876E-10
4.531558202E-4	2.490000000E-3	3.168316259E-5	3.846838284E-10
4.451439736E-4	2.690000000E-3	3.168875413E-5	5.475910619E-10
3.303156515E-4	2.890000000E-3	2.911588607E-5	6.037508572E-10
2.921419938E-4	3.090000000E-3	2.870998060E-5	3.333174901E-10
2.928461597E-4	3.290000000E-3	3.224696321E-5	1.015746073E-9
