Time,Voltage
1.89E-02,10.2
1.89E-02,10.8
1.89E-02,10.2
1.89E-02,10.6
1.89E-02,10.6
1.89E-02,10.4
1.89E-02,10.4
1.89E-02,10.4
1.89E-02,10.6
1.89E-02,10.2
1.89E-02,10.4
1.89E-02,10.6
1.89E-02,10.4
1.89E-02,10.2
1.89E-02,10.2
1.89E-02,10.6
1.89E-02,10.4
1.90E-02,10.4
1.90E-02,10.4
1.90E-02,10.6
1.90E-02,10.2
1.90E-02,10.6
1.90E-02,10.2
1.90E-02,10.8
1.90E-02,9.8
1.90E-02,10
1.90E-02,10.8
1.90E-02,10.2
1.90E-02,10.6
1.90E-02,10.6
1.90E-02,10.4
1.90E-02,10.4
1.90E-02,10.8
1.90E-02,10.6
1.90E-02,11
1.90E-02,10.8
1.90E-02,10.6
1.90E-02,10.2
1.90E-02,10.6
1.90E-02,10.6
1.90E-02,10.6
1.90E-02,10.6
1.91E-02,10.4
1.91E-02,10.2
1.91E-02,10.8
1.91E-02,10.2
1.91E-02,10.4
1.91E-02,10.4
1.91E-02,10.4
1.91E-02,10.4
1.91E-02,10.6
1.91E-02,10.4
1.91E-02,10.4
1.91E-02,10.4
1.91E-02,10.6
1.91E-02,10.6
1.91E-02,10.6
1.91E-02,10.4
1.91E-02,10
1.91E-02,10.6
1.91E-02,9.8
1.91E-02,9.8
1.91E-02,10.2
1.91E-02,10.2
1.91E-02,10.6
1.91E-02,10.8
1.91E-02,10.2
1.92E-02,10.4
1.92E-02,10.4
1.92E-02,10.8
1.92E-02,10.4
1.92E-02,10.4
1.92E-02,10.4
1.92E-02,10.6
1.92E-02,10.4
1.92E-02,10.4
1.92E-02,10.6
1.92E-02,10.2
1.92E-02,10.8
1.92E-02,10.6
1.92E-02,10.2
1.92E-02,10.4
1.92E-02,10.4
1.92E-02,10.6
1.92E-02,10.2
1.92E-02,9.8
1.92E-02,10.6
1.92E-02,11
1.92E-02,10.8
1.92E-02,10.4
1.92E-02,10.6
1.92E-02,10.6
1.93E-02,10.6
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.2
1.93E-02,10.4
1.93E-02,10.2
1.93E-02,10.4
1.93E-02,10.2
1.93E-02,10.2
1.93E-02,10.2
1.93E-02,10.6
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.4
1.93E-02,10.2
1.93E-02,10.4
1.93E-02,10.6
1.93E-02,10.2
1.93E-02,10.2
1.93E-02,10.4
1.93E-02,10.4
1.94E-02,10.4
1.94E-02,10.6
1.94E-02,10.4
1.94E-02,10.6
1.94E-02,10.2
1.94E-02,10.4
1.94E-02,10.2
1.94E-02,10.4
1.94E-02,10.8
1.94E-02,10.2
1.94E-02,10.2
1.94E-02,10.8
1.94E-02,11
1.94E-02,10.4
1.94E-02,10.6
1.94E-02,10.4
1.94E-02,10.6
1.94E-02,10.6
1.94E-02,10.6
1.94E-02,10.6
1.94E-02,10.6
1.94E-02,10.4
1.94E-02,10.8
1.94E-02,10.8
1.94E-02,10.4
1.95E-02,10.2
1.95E-02,10.4
1.95E-02,10.2
1.95E-02,10.4
1.95E-02,10.2
1.95E-02,10.6
1.95E-02,10.4
1.95E-02,10
1.95E-02,10.4
1.95E-02,10.4
1.95E-02,10.2
1.95E-02,10.6
1.95E-02,10.6
1.95E-02,10.4
1.95E-02,10.4
1.95E-02,10.4
1.95E-02,10.6
1.95E-02,10.6
1.95E-02,9.8
1.95E-02,10.2
1.95E-02,10.4
1.95E-02,10.4
1.95E-02,10.4
1.95E-02,10.2
1.95E-02,9.6
1.96E-02,10.4
1.96E-02,10
1.96E-02,10.4
1.96E-02,10.4
1.96E-02,10
1.96E-02,10.6
1.96E-02,10.4
1.96E-02,10.2
1.96E-02,10.6
1.96E-02,10.6
1.96E-02,10.8
1.96E-02,10.2
1.96E-02,10.4
1.96E-02,10.4
1.96E-02,10.2
1.96E-02,10.4
1.96E-02,10.2
1.96E-02,10.2
1.96E-02,10.4
1.96E-02,10.2
1.96E-02,10.2
1.96E-02,10
1.96E-02,10.6
1.96E-02,10.6
1.96E-02,10
1.97E-02,10.6
1.97E-02,10.4
1.97E-02,10.2
1.97E-02,10.2
1.97E-02,9.8
1.97E-02,10.8
1.97E-02,10.6
1.97E-02,10.4
1.97E-02,10.4
1.97E-02,10.2
1.97E-02,10.6
1.97E-02,10.4
1.97E-02,10.6
1.97E-02,10.4
1.97E-02,10.4
1.97E-02,10.2
1.97E-02,10.8
1.97E-02,10.6
1.97E-02,10.4
1.97E-02,10.4
1.97E-02,9.8
1.97E-02,10.2
1.97E-02,10.4
1.97E-02,10.4
1.97E-02,10.6
1.98E-02,10
1.98E-02,10.2
1.98E-02,10.6
1.98E-02,10.2
1.98E-02,10.4
1.98E-02,10.2
1.98E-02,10.4
1.98E-02,10.4
1.98E-02,10.4
1.98E-02,10.2
1.98E-02,10.6
1.98E-02,10.8
1.98E-02,10.4
1.98E-02,10.6
1.98E-02,10.4
1.98E-02,10.6
1.98E-02,10.6
1.98E-02,10.6
1.98E-02,10.6
1.98E-02,10.6
1.98E-02,10.4
1.98E-02,11
1.98E-02,10.6
1.98E-02,10.4
1.98E-02,10.2
1.99E-02,10.6
1.99E-02,10.6
1.99E-02,10.6
1.99E-02,10.2
1.99E-02,10
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.2
1.99E-02,10.6
1.99E-02,10
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.6
1.99E-02,10.2
1.99E-02,10.6
1.99E-02,10.2
1.99E-02,10.2
1.99E-02,10.4
1.99E-02,10.4
1.99E-02,10.2
1.99E-02,10.4
1.99E-02,9.8
2.00E-02,10
2.00E-02,10.4
2.00E-02,10.4
2.00E-02,10
2.00E-02,10.2
2.00E-02,10.4
2.00E-02,10.2
2.00E-02,10.6
2.00E-02,10.6
2.00E-02,10.6
2.00E-02,10.8
2.00E-02,10.4
2.00E-02,10
2.00E-02,10.2
2.00E-02,10.4
2.00E-02,10.2
2.00E-02,10.2
2.00E-02,10
2.00E-02,10.2
2.00E-02,10.6
2.00E-02,10
2.00E-02,10.4
2.00E-02,10.2
2.00E-02,10.6
2.00E-02,10.4
2.01E-02,10.4
2.01E-02,10.2
2.01E-02,10.2
2.01E-02,10.2
2.01E-02,10.8
2.01E-02,10.2
2.01E-02,10.4
2.01E-02,10.2
2.01E-02,10.2
2.01E-02,10.6
2.01E-02,10.6
2.01E-02,10.4
2.01E-02,10.4
2.01E-02,10.4
2.01E-02,10.2
2.01E-02,10
2.01E-02,10.2
2.01E-02,10
2.01E-02,9.8
2.01E-02,10.2
2.01E-02,10.2
2.01E-02,10.4
2.01E-02,10
2.01E-02,10.4
2.01E-02,10.2
2.02E-02,10.2
2.02E-02,10.6
2.02E-02,10.2
2.02E-02,10
2.02E-02,10.2
2.02E-02,10.4
2.02E-02,11
2.02E-02,10.6
2.02E-02,10.6
2.02E-02,10.4
2.02E-02,11
2.02E-02,10.4
2.02E-02,10.6
2.02E-02,10.4
2.02E-02,10.6
2.02E-02,10.6
2.02E-02,10.8
2.02E-02,10.6
2.02E-02,10.8
2.02E-02,10.4
2.02E-02,10.8
2.02E-02,10.6
2.02E-02,10.2
2.02E-02,10.2
2.02E-02,10
2.03E-02,10.2
2.03E-02,10
2.03E-02,10.2
2.03E-02,10
2.03E-02,10.4
2.03E-02,10.4
2.03E-02,10.4
2.03E-02,10.4
2.03E-02,10.2
2.03E-02,10.6
2.03E-02,10.8
2.03E-02,10.4
2.03E-02,10
2.03E-02,10
2.03E-02,10.6
2.03E-02,10.2
2.03E-02,10.2
2.03E-02,10.2
2.03E-02,10.2
2.03E-02,10.4
2.03E-02,10.4
2.03E-02,10.2
2.03E-02,10.4
2.03E-02,10.4
2.03E-02,10.4
2.04E-02,10.4
2.04E-02,10.4
2.04E-02,10.4
2.04E-02,10.6
2.04E-02,10.4
2.04E-02,10.2
2.04E-02,10.6
2.04E-02,10.2
2.04E-02,10.6
2.04E-02,10.2
2.04E-02,9.8
2.04E-02,9.8
2.04E-02,9.8
2.04E-02,10
2.04E-02,10.2
2.04E-02,9.8
2.04E-02,10.4
2.04E-02,10
2.04E-02,10.6
2.04E-02,10
2.04E-02,10.4
2.04E-02,10.2
2.04E-02,10.4
2.04E-02,10.4
2.04E-02,10.4
2.05E-02,9.8
2.05E-02,10.4
2.05E-02,10.4
